frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
213,2.247,121.929,7.134,108.43,2.115,2.56,6.008,1.387,20,13,0,0
214,1.942,109.747,7.244,92.695,2.69,3.834,7.572,2.535,20,13,0,0
215,1.956,114.103,6.315,97.671,2.728,3.536,7.323,2.619,20,13,0,0
216,2.085,110.101,7.109,94.249,2.479,1.564,4.878,1.042,19,12,0,0
217,2.167,111.179,6.504,96.822,2.248,4.451,9.325,2.574,20,13,0,0
218,2.049,106.54,6.972,93.59,1.768,2.025,6.001,1.259,19,12,0,0
219,2.143,114.661,6.628,98.034,2.672,2.279,5.702,1.341,20,13,0,0
220,2.219,110.238,7.429,96.099,2.228,2.069,5.83,1.305,19,12,0,0
221,2.162,119.138,6.849,99.029,3.498,4.198,8.088,3.366,20,12,0,0
222,1.817,109.404,6.897,96.728,1.762,2.016,5.714,1.262,20,12,0,0
223,2.342,113.354,7.077,97.251,2.468,2.31,7.501,1.658,21,13,0,0
224,1.932,108.31,7.726,94.865,1.647,2.067,5.911,1.346,21,13,0,0
225,2.14,109.454,6.661,96.907,1.769,2.07,5.518,1.515,21,13,0,0
226,2.097,108.899,7.549,92.368,2.339,4.163,7.676,3.269,21,13,0,0
227,2.302,106.917,6.786,94.218,1.725,2.177,5.818,1.626,21,12,0,0
228,2.006,112.004,7.473,94.557,2.462,4.307,8.173,3.405,21,12,0,0
229,1.946,109.02,6.755,94.3,2.227,2.448,7.952,1.74,22,13,0,0
230,1.982,111.637,7.294,94.037,2.198,4.605,8.302,3.463,22,13,0,0
231,2.179,110.511,6.221,96.275,2.235,2.049,5.562,1.655,21,12,0,0
232,2.13,105.15,7.031,92.149,1.654,2.196,5.763,1.75,22,13,0,0
233,2.057,105.547,6.269,93.362,1.688,2.36,6.007,1.8,22,13,0,0
234,1.872,108.421,7.088,95.092,1.641,2.316,6.016,1.836,23,13,0,0
235,1.992,112.691,6.881,96.484,2.757,2.375,6.043,6.883,23,13,0,0
236,2.037,111.061,7.467,93.534,2.347,5.374,7.88,3.319,23,13,0,0
237,2.234,106.161,6.468,93.798,1.756,2.844,5.915,1.676,23,14,0,0
238,2.059,105.488,6.938,92.503,1.667,2.293,6.038,1.704,22,13,0,0
239,2.136,111.674,6.338,95.102,2.213,3.724,6.017,1.735,23,14,0,0
240,2.055,108.8,7.237,91.404,2.408,5.335,8.213,3.872,23,14,0,0
241,2.165,112.208,6.916,95.346,2.643,4.387,9.678,4.218,22,13,0,0
242,1.872,106.314,7.193,93.044,1.561,2.238,6.453,1.988,22,13,0,0
243,2.225,112.046,6.387,95.427,2.25,4.165,7.654,3.105,22,13,0,0
244,2.193,114.76,7.119,97.798,2.102,4.752,7.095,4.294,22,13,0,0
245,2.159,110.83,6.476,94.276,2.739,4.626,8.5,3.713,22,13,0,0
246,2.227,109.9,7.875,90.63,2.468,4.582,7.91,3.656,22,13,0,0
247,2.171,109.849,6.405,93.719,2.468,2.263,6.693,1.966,22,12,0,0
248,2.331,109.012,7.405,90.924,2.327,2.063,4.823,1.652,23,12,0,0
249,2.258,111.595,6.454,97.782,2.231,2.217,5.699,1.555,23,12,0,0
250,2.215,112.035,7.693,93.459,2.331,4.577,8.662,3.372,23,12,0,0
251,2.013,111.727,7.051,94.969,2.403,4.044,8.121,3.237,23,12,0,0
252,1.846,105.076,6.926,92.129,1.8,2.143,6.041,1.573,21,11,0,0
253,2.034,115.852,7.053,98.949,2.345,4.183,9.297,2.904,21,11,0,0
254,2.01,118.798,7.379,100.631,2.206,4.464,6.556,1.67,21,11,0,0
255,2.187,109.918,7.468,95.701,2.624,2.335,6.001,1.584,21,11,0,0
256,2.151,106.872,6.925,93.854,1.686,2.148,6.412,1.522,21,11,0,0
257,1.945,108.121,6.401,95.767,1.718,2.105,7.543,1.494,20,10,0,0
258,2.114,106.493,7.534,93.115,1.645,2.023,5.153,1.449,20,10,0,0
259,2.115,113.391,6.521,99.832,1.827,3.04,6.192,1.621,20,10,0,0
260,2.475,116.546,7.961,98.101,2.463,4.158,7.792,2.9,21,11,0,0
261,2.135,130.076,6.763,112.013,2.824,4.427,8.496,3.095,21,11,0,0
262,2.069,109.435,7.384,92.699,2.275,4.275,7.792,3.023,22,12,0,0
263,2.255,114.375,7.533,97.411,2.333,3.986,7.957,3.215,22,12,0,0
264,2.231,112.842,6.98,96.18,2.426,4.058,6.175,1.564,21,11,0,0
265,2.23,113.531,6.58,100.331,2.154,2.955,10.202,3.633,22,12,0,0
266,2.02,111.208,7.886,97.229,1.81,2.26,6.106,1.648,22,12,0,0
267,2.265,115.455,7.771,101.23,1.812,2.655,6.246,2.281,22,12,0,0
268,1.995,116.222,7.751,101.727,1.806,3.758,7.748,2.722,22,12,0,0
269,2.089,118.033,7.075,101.392,2.5,4.414,8.011,3.222,22,12,0,0
270,2.173,116.026,7.928,97.024,3.148,4.456,8.642,5.001,22,13,0,0
271,2.559,114.975,7.613,97.91,2.249,4.072,6.714,4.307,21,12,0,0
272,2.027,114.656,7.967,96.835,2.449,3.786,7.165,2.311,21,12,0,0
273,2.019,115.664,7.239,99.196,2.197,3.966,5.857,2.331,21,12,0,0
274,2.108,117.513,8.196,99.198,2.242,3.03,5.992,2.228,19,11,0,0
275,2.242,119.108,6.903,101.934,2.728,4.222,7.442,4.453,20,12,0,0
276,2.238,115.883,8.818,99.996,2.278,1.936,5.993,2.191,18,10,0,0
277,2.087,111.258,6.208,99.235,1.783,1.922,7.311,2.205,18,10,0,0
278,2.094,111.241,6.971,95.048,2.479,4.147,6.318,2.364,18,10,0,0
279,2.078,112.179,6.82,99.647,1.815,1.892,5.734,2.285,18,10,0,0
280,2.139,118.892,7.217,101.612,2.558,4.173,6.886,4.431,19,11,0,0
281,2.157,127.639,7.674,109.625,2.571,4.003,8.316,4.404,18,10,0,0
282,2.074,126.513,7.496,108.979,2.696,4.312,7.882,4.757,18,10,0,0
283,2.24,118.7,7.151,103.816,1.809,4.696,8.673,5.119,18,10,0,0
284,2.009,120.36,8.139,105.947,1.889,2.41,6.758,10.113,19,11,0,0
285,2.332,121.323,6.661,105.937,2.652,2.585,7.654,3.895,19,11,0,0
286,2.391,124.175,8.372,107.383,1.902,4.596,7.723,3.477,19,11,0,0
287,2.01,117.424,6.792,104.654,1.898,2.053,7.349,2.393,19,11,0,0
288,2.273,114.893,7.259,99.922,2.302,2.03,6.035,2.359,19,11,0,0
289,2.393,113.978,6.929,101.115,1.809,2.099,7.46,2.42,19,11,0,0
290,2.159,121.249,7.658,102.931,2.463,2.028,6.271,2.707,17,9,0,0
291,2.077,111.455,6.24,99.487,1.648,1.998,5.523,2.443,18,10,0,0
292,2.121,108.603,7.435,95.367,1.846,2.052,6.043,2.443,19,11,0,0
293,2.183,109.567,7.013,96.308,2.436,1.653,4.803,1.291,19,11,0,0
294,2.056,110.502,7.118,93.913,2.15,3.782,6.331,2.316,18,11,0,0
295,1.928,110.694,6.466,98.48,1.619,1.839,5.818,1.395,17,10,0,0
296,2.198,116.444,7.386,102.798,1.733,1.887,5.931,2.408,18,11,0,0
297,3.505,117.772,7.248,101.005,2.937,2.896,5.787,2.64,18,11,0,0
298,2.211,111.282,7.52,97.752,1.667,1.861,5.284,2.406,17,10,0,0
299,2.364,113.756,7.364,99.994,2.302,1.779,5.925,2.4,17,10,0,0
300,2.099,104.962,6.72,92.606,1.681,1.725,6.061,1.388,16,9,0,0
301,2.373,119.616,6.439,107.073,1.858,2.379,7.559,1.665,17,10,0,0
302,2.091,106.372,7.985,91.473,2.33,3.584,6.129,2.083,15,9,0,0
303,2.152,112.755,6.876,96.908,2.556,3.23,7.35,2.791,15,9,0,0
304,1.961,110.081,7.655,93.182,2.542,3.436,6.78,2.606,15,9,0,0
305,2.077,117.094,6.298,104.152,2.06,1.727,5.916,1.389,15,9,0,0
306,2.152,114.092,7.382,100.838,2.071,1.699,5.842,2.407,15,9,0,0
307,1.976,115.699,7.402,99.239,2.295,1.866,6.102,2.392,15,9,0,0
308,1.845,116.139,7.578,99.541,2.458,4.733,8.242,2.991,14,8,0,0
309,2.315,116.331,7.225,99.816,2.205,3.518,7.769,2.763,14,8,0,0
310,2.232,107.566,7.497,94.223,1.992,1.934,5.945,1.453,16,10,0,0
311,1.995,112.458,6.991,99.48,2.013,1.647,5.703,1.356,15,9,0,0
312,1.941,106.175,7.934,92.934,1.641,1.653,5.823,2.305,15,9,0,0
313,2.191,109.765,6.693,97.677,1.696,1.662,7.387,2.256,15,9,0,0
314,1.812,110.566,6.945,94.287,2.451,3.442,8.18,4.323,16,10,0,0
315,2.155,109.136,6.93,95.877,2.071,1.959,6.809,2.355,18,11,0,0
316,2.206,111.941,7.608,94.355,2.596,2.811,5.864,2.437,18,11,0,0
317,2.127,109.542,7.5,94.572,1.746,1.923,5.896,1.371,18,11,0,0
318,2.003,109.528,7.232,96.465,1.692,1.861,6.05,1.48,17,10,0,0
319,2.045,113.396,6.84,96.683,2.621,3.214,8.196,4.507,15,9,0,0
320,2.345,116.323,8.356,99.653,2.774,4.017,8.123,2.735,17,11,0,0
321,2.29,114.528,6.639,101.902,1.773,1.807,5.587,1.474,17,11,0,0
322,2.148,112.084,7.103,98.938,1.839,1.926,6.095,1.479,17,11,0,0
323,2.344,112.847,6.855,99.165,1.664,1.868,6.126,1.418,17,11,0,0
