frame,time_s,type,stable_id,class,detail
360,12.0,id_recovered,44,car,"raw 472 -> 506, mất 7 frame"
360,12.0,id_recovered,24,car,"raw 418 -> 508, mất 20 frame"
361,12.03,id_recovered,112,car,"raw 487 -> 509, mất 6 frame"
362,12.07,id_recovered,47,car,"raw 447 -> 511, mất 36 frame"
363,12.1,id_recovered,105,moto,"raw 505 -> 512, mất 2 frame"
363,12.1,id_recovered,36,car,"raw 477 -> 513, mất 19 frame"
365,12.17,small_object,70,car,"box 35x29px, conf 0.74"
367,12.23,id_recovered,117,moto,"raw 514 -> 454, mất 3 frame"
369,12.3,id_recovered,105,moto,"raw 512 -> 522, mất 5 frame"
370,12.33,id_recovered,69,car,"raw 186 -> 439, mất 3 frame"
370,12.33,occlusion,69&75,,IoU 0.33
370,12.33,occlusion,19&69,,IoU 0.33
371,12.37,id_recovered,119,car,"raw 520 -> 523, mất 1 frame"
371,12.37,id_recovered,19,car,"raw 229 -> 186, mất 0 frame"
371,12.37,occlusion,13&61,,IoU 0.36
372,12.4,id_recovered,117,moto,"raw 454 -> 525, mất 4 frame"
373,12.43,small_object,75,car,"box 34x30px, conf 0.65"
373,12.43,id_recovered,105,moto,"raw 522 -> 526, mất 1 frame"
373,12.43,occlusion,45&109,,IoU 0.32
374,12.47,id_recovered,19,car,"raw 186 -> 229, mất 0 frame"
375,12.5,id_recovered,57,car,"raw 483 -> 532, mất 6 frame"
376,12.53,id_recovered,3,car,"raw 346 -> 533, mất 40 frame"
376,12.53,id_recovered,105,moto,"raw 526 -> 534, mất 2 frame"
378,12.6,id_recovered,120,car,"raw 527 -> 536, mất 2 frame"
378,12.6,small_object,122,car,"box 31x25px, conf 0.44"
379,12.63,id_recovered,103,moto,"raw 440 -> 540, mất 1 frame"
383,12.77,id_recovered,117,moto,"raw 525 -> 543, mất 10 frame"
383,12.77,id_recovered,120,car,"raw 536 -> 544, mất 4 frame"
383,12.77,id_recovered,89,moto,"raw 81 -> 545, mất 9 frame"
383,12.77,id_recovered,19,car,"raw 229 -> 186, mất 0 frame"
384,12.8,id_recovered,107,car,"raw 473 -> 547, mất 2 frame"
385,12.83,id_recovered,110,car,"raw 298 -> 548, mất 13 frame"
388,12.93,occlusion,45&109,,IoU 0.30
389,12.97,id_recovered,19,car,"raw 186 -> 229, mất 0 frame"
390,13.0,id_recovered,19,car,"raw 229 -> 186, mất 0 frame"
392,13.07,id_recovered,19,car,"raw 186 -> 229, mất 0 frame"
395,13.17,id_recovered,24,car,"raw 508 -> 560, mất 13 frame"
397,13.23,id_recovered,122,car,"raw 538 -> 562, mất 15 frame"
400,13.33,id_recovered,124,moto,"raw 551 -> 563, mất 12 frame"
403,13.43,small_object,105,moto,"box 22x40px, conf 0.38"
406,13.53,id_recovered,47,car,"raw 511 -> 564, mất 36 frame"
407,13.57,id_recovered,36,car,"raw 513 -> 565, mất 34 frame"
408,13.6,occlusion,45&109,,IoU 0.30
409,13.63,id_recovered,121,moto,"raw 537 -> 567, mất 6 frame"
