frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
224,6.597,137.801,17.661,99.567,3.111,7.538,29.696,8.248,38,5,0,0
225,7.066,139.395,14.461,103.02,3.489,7.29,29.891,9.168,39,4,0,0
226,6.666,134.647,14.535,99.082,3.304,7.897,30.373,9.568,39,4,0,0
227,6.579,140.542,15.365,103.05,3.299,8.499,29.611,10.311,42,4,0,0
228,7.214,137.846,17.812,99.555,2.814,7.338,29.643,10.301,39,3,0,0
229,6.844,139.483,15.06,103.431,3.303,7.094,30.454,8.746,37,4,0,0
230,7.095,135.44,14.892,99.632,3.246,7.576,27.655,10.576,39,3,0,0
231,6.731,137.44,14.14,102.985,3.282,7.488,30.963,9.343,40,4,0,0
232,6.621,148.989,15.639,111.48,3.442,8.086,26.917,10.138,41,5,0,0
233,6.897,143.094,13.888,107.126,3.328,8.386,27.57,11.083,44,7,0,0
234,12.37,138.498,17.301,99.525,3.333,8.002,30.398,11.368,42,6,0,0
235,6.918,139.854,15.496,104.399,3.074,6.673,26.484,33.655,39,5,0,0
236,6.264,141.042,16.208,102.874,3.778,7.212,30.046,10.962,39,5,0,0
237,6.91,140.407,14.359,102.486,3.996,7.553,24.894,11.223,37,4,0,0
238,6.782,137.04,14.404,101.27,3.629,7.223,31.001,11.751,37,4,0,0
239,7.017,142.909,16.961,104.385,3.473,8.021,29.754,34.003,40,5,0,0
240,6.835,138.714,15.226,100.338,3.364,8.487,31.473,11.082,41,5,0,0
241,6.992,139.269,13.424,104.321,3.278,8.431,30.691,11.693,43,7,0,0
242,6.957,141.073,18.202,101.44,3.202,7.787,30.102,11.868,43,7,0,0
243,7.168,140.224,15.6,103.249,3.269,7.695,30.23,12.033,42,6,0,0
244,7.072,134.562,15.858,98.872,2.982,7.903,32.787,11.477,41,6,0,0
245,6.724,142.429,14.348,105.961,3.626,8.042,30.33,12.327,43,7,0,0
246,6.845,132.364,15.592,95.835,3.306,7.435,30.903,12.389,39,6,0,0
247,7.025,138.864,16.401,99.595,3.588,8.041,30.787,11.949,39,5,0,0
248,7.043,134.191,14.611,98.419,3.487,7.53,31.981,11.998,39,6,0,0
249,6.774,135.97,13.585,100.958,3.592,7.068,29.291,9.674,39,6,0,0
250,6.286,141.28,13.71,107.201,3.392,7.715,31.745,9.183,38,6,0,0
251,7.344,176.925,16.971,105.592,33.297,8.067,34.611,9.584,39,6,0,0
